Images/image_0001.jpg, red, Objects (id: bounding-box centroid area mean-color):
  6: 4x5+896+87 897.7,89.0 18 srgb(0,0,0)
Images/image_0049.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07354e+06 srgb(0,0,0)
  1: 9x9+817+292 821.6,296.0 42 srgb(255,255,255)
  2: 5x5+819+294 821.0,296.1 15 srgb(0,0,0)
Images/image_0049.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07349e+06 srgb(0,0,0)
  3: 7x7+714+705 716.8,707.8 42 srgb(255,255,255)
  5: 8x7+1153+1052 1155.7,1054.9 42 srgb(255,255,255)
  1: 5x5+1543+505 1545.1,507.1 22 srgb(255,255,255)
Images/image_0049.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.0729e+06 srgb(0,0,0)
  13: 13x12+1167+357 1172.8,362.4 92 srgb(255,255,255)
  5: 13x11+911+79 917.0,84.1 83 srgb(255,255,255)
  7: 12x11+1111+124 1116.8,129.1 78 srgb(255,255,255)
  3: 10x11+942+69 946.8,73.8 77 srgb(255,255,255)
  11: 12x10+872+239 877.9,243.5 71 srgb(255,255,255)
  9: 10x11+1350+131 1354.9,135.8 70 srgb(255,255,255)
  1: 10x11+1152+48 1156.4,53.0 68 srgb(255,255,255)
  14: 6x6+1170+360 1172.4,362.5 31 srgb(0,0,0)
  12: 6x6+874+241 876.3,243.6 24 srgb(0,0,0)
  4: 5x5+944+72 945.7,74.0 22 srgb(0,0,0)
  10: 5x6+1353+133 1354.7,135.7 22 srgb(0,0,0)
  8: 5x5+1114+127 1116.0,129.0 21 srgb(0,0,0)
  6: 5x6+915+81 916.8,83.5 20 srgb(0,0,0)
  2: 5x5+1154+51 1155.6,53.2 19 srgb(0,0,0)
Images/image_0050.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07354e+06 srgb(0,0,0)
  1: 9x8+848+319 851.5,322.6 44 srgb(255,255,255)
  2: 3x5+850+320 851.0,322.3 13 srgb(0,0,0)
Images/image_0050.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  4: 9x8+1157+1051 1160.9,1054.4 53 srgb(255,255,255)
  1: 7x7+1135+43 1138.5,46.4 31 srgb(255,255,255)
  2: 6x6+1547+523 1549.4,525.5 30 srgb(255,255,255)
  3: 9x7+684+698 687.8,700.8 29 srgb(255,255,255)
Images/image_0050.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07303e+06 srgb(0,0,0)
  1: 19x15+933+73 942.4,79.7 146 srgb(255,255,255)
  6: 12x12+1148+158 1153.9,163.7 88 srgb(255,255,255)
  8: 11x10+907+235 912.4,239.6 73 srgb(255,255,255)
  4: 10x11+1311+116 1315.6,121.3 63 srgb(255,255,255)
  10: 10x11+1154+401 1158.4,406.1 62 srgb(255,255,255)
  11: 6x6+1155+403 1157.6,405.7 27 srgb(0,0,0)
  5: 5x5+1313+119 1315.1,121.1 24 srgb(0,0,0)
  3: 5x6+944+80 945.9,82.0 23 srgb(0,0,0)
  7: 5x5+1151+161 1153.1,163.0 22 srgb(0,0,0)
  2: 5x5+935+76 937.1,77.8 21 srgb(0,0,0)
  9: 4x6+910+237 911.4,239.6 21 srgb(0,0,0)
Images/image_0051.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0736e+06 srgb(0,0,0)
Images/image_0051.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07335e+06 srgb(0,0,0)
  12: 9x7+1157+1052 1160.6,1054.8 51 srgb(255,255,255)
  10: 9x7+658+699 662.0,701.9 49 srgb(255,255,255)
  4: 9x7+947+71 950.9,73.9 47 srgb(255,255,255)
  1: 9x9+1089+53 1093.3,56.9 46 srgb(255,255,255)
  8: 6x6+1547+537 1549.7,539.7 31 srgb(255,255,255)
  2: 4x4+1090+55 1091.4,56.6 15 srgb(0,0,0)
  5: 3x4+949+73 950.0,74.2 10 srgb(0,0,0)
Images/image_0051.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07301e+06 srgb(0,0,0)
  5: 11x12+1131+170 1136.3,175.2 82 srgb(255,255,255)
  3: 12x11+1252+145 1257.3,150.0 78 srgb(255,255,255)
  9: 12x12+851+261 857.0,266.6 77 srgb(255,255,255)
  12: 12x10+1175+431 1180.6,435.3 76 srgb(255,255,255)
  1: 11x12+952+120 956.9,125.5 75 srgb(255,255,255)
  7: 10x11+935+191 939.8,196.2 66 srgb(255,255,255)
  10: 6x6+854+265 856.5,267.3 28 srgb(0,0,0)
  2: 5x6+955+123 956.9,125.7 26 srgb(0,0,0)
  4: 5x6+1255+147 1256.9,149.7 26 srgb(0,0,0)
  6: 5x6+1133+173 1135.3,175.2 23 srgb(0,0,0)
  13: 5x5+1178+433 1180.2,435.4 19 srgb(0,0,0)
  8: 3x5+938+194 938.9,195.9 14 srgb(0,0,0)
Images/image_0052.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0736e+06 srgb(0,0,0)
Images/image_0052.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07332e+06 srgb(0,0,0)
  9: 7x8+633+698 636.1,701.4 47 srgb(255,255,255)
  5: 8x9+1114+135 1117.8,139.7 46 srgb(255,255,255)
  1: 8x8+952+70 955.6,73.1 41 srgb(255,255,255)
  12: 8x8+1159+1050 1162.5,1054.0 38 srgb(255,255,255)
  3: 8x7+1091+119 1094.2,122.0 36 srgb(255,255,255)
  7: 6x6+1549+553 1551.4,555.4 33 srgb(255,255,255)
  2: 4x4+953+72 954.7,73.2 12 srgb(0,0,0)
  6: 4x4+1115+138 1116.6,139.5 11 srgb(0,0,0)
  4: 3x5+1093+120 1094.1,122.3 10 srgb(0,0,0)
  13: 4x4+1160+1053 1161.9,1054.0 10 srgb(0,0,0)
Images/image_0052.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07308e+06 srgb(0,0,0)
  1: 12x13+1011+127 1016.6,133.2 98 srgb(255,255,255)
  7: 13x11+803+243 808.8,247.7 82 srgb(255,255,255)
  3: 11x12+1206+136 1210.8,141.7 75 srgb(255,255,255)
  9: 11x10+1216+438 1221.2,442.2 70 srgb(255,255,255)
  5: 11x10+900+146 905.2,150.4 68 srgb(255,255,255)
  8: 6x6+806+245 808.3,247.5 31 srgb(0,0,0)
  2: 5x6+1014+131 1016.0,133.5 26 srgb(0,0,0)
  4: 6x6+1208+139 1210.6,141.2 26 srgb(0,0,0)
  10: 6x5+1218+441 1220.5,442.6 21 srgb(0,0,0)
  6: 4x5+903+148 904.5,150.2 18 srgb(0,0,0)
Images/image_0053.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07355e+06 srgb(0,0,0)
  1: 8x8+599+687 602.7,690.8 41 srgb(255,255,255)
  2: 4x3+600+690 601.4,691.1 11 srgb(0,0,0)
Images/image_0053.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07337e+06 srgb(0,0,0)
  1: 10x9+972+66 976.8,70.0 52 srgb(255,255,255)
  4: 9x10+1110+135 1114.1,139.5 51 srgb(255,255,255)
  7: 9x7+1158+1051 1161.8,1053.6 37 srgb(255,255,255)
  6: 6x6+1549+562 1551.3,564.6 32 srgb(255,255,255)
  3: 8x6+1090+132 1093.1,134.5 30 srgb(255,255,255)
  2: 3x4+975+68 976.2,69.5 10 srgb(0,0,0)
  5: 3x4+1112+138 1113.0,139.5 10 srgb(0,0,0)
  8: 4x4+1160+1052 1161.7,1053.5 10 srgb(0,0,0)
Images/image_0053.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07309e+06 srgb(0,0,0)
  3: 11x12+1062+135 1067.1,140.7 86 srgb(255,255,255)
  7: 12x13+801+202 806.8,208.1 83 srgb(255,255,255)
  5: 13x11+846+172 852.4,177.0 81 srgb(255,255,255)
  1: 12x11+1203+92 1208.9,97.6 73 srgb(255,255,255)
  9: 10x10+1254+399 1258.5,403.5 71 srgb(255,255,255)
  4: 6x6+1064+137 1066.5,139.8 28 srgb(0,0,0)
  6: 6x6+850+175 852.2,177.5 26 srgb(0,0,0)
  8: 5x6+805+205 806.8,207.9 24 srgb(0,0,0)
  2: 5x5+1206+95 1208.1,97.5 20 srgb(0,0,0)
  10: 5x4+1256+402 1257.9,403.4 19 srgb(0,0,0)
Images/image_0054.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07342e+06 srgb(0,0,0)
  5: 10x9+1161+1050 1165.7,1054.1 55 srgb(255,255,255)
  1: 9x7+1549+571 1553.1,573.8 48 srgb(255,255,255)
  3: 9x8+601+664 604.8,667.8 42 srgb(255,255,255)
  6: 5x5+1163+1052 1165.0,1054.1 21 srgb(0,0,0)
  4: 4x3+603+667 604.4,668.1 11 srgb(0,0,0)
Images/image_0054.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07345e+06 srgb(0,0,0)
  1: 9x9+992+64 996.3,67.9 50 srgb(255,255,255)
  5: 9x8+1113+137 1117.6,140.5 43 srgb(255,255,255)
  4: 8x7+1096+130 1099.2,132.7 33 srgb(255,255,255)
  2: 4x4+994+66 995.5,67.6 11 srgb(0,0,0)
  6: 3x4+1115+139 1116.1,140.6 11 srgb(0,0,0)
Images/image_0054.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07312e+06 srgb(0,0,0)
  5: 12x11+818+163 823.3,168.1 83 srgb(255,255,255)
  3: 12x12+1070+112 1075.6,117.2 82 srgb(255,255,255)
  1: 11x12+1229+80 1233.8,85.0 79 srgb(255,255,255)
  7: 10x11+893+214 897.9,219.3 66 srgb(255,255,255)
  9: 10x11+1247+342 1251.3,346.7 65 srgb(255,255,255)
  4: 5x6+1073+115 1074.9,117.3 24 srgb(0,0,0)
  10: 6x6+1248+345 1250.5,347.3 24 srgb(0,0,0)
  6: 5x6+820+165 822.3,167.8 23 srgb(0,0,0)
  8: 4x6+896+217 897.4,219.1 20 srgb(0,0,0)
  2: 5x5+1231+83 1232.8,84.8 19 srgb(0,0,0)
Images/image_0055.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07343e+06 srgb(0,0,0)
  5: 9x9+1161+1050 1164.7,1053.8 47 srgb(255,255,255)
  3: 9x9+591+646 594.9,649.6 44 srgb(255,255,255)
  1: 8x8+1549+587 1552.8,590.4 38 srgb(255,255,255)
  6: 4x5+1163+1052 1164.6,1053.9 17 srgb(0,0,0)
  2: 4x5+1550+588 1551.7,590.1 13 srgb(0,0,0)
  4: 5x3+592+649 593.8,649.9 12 srgb(0,0,0)
Images/image_0055.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07344e+06 srgb(0,0,0)
  3: 10x10+1087+150 1092.2,154.9 58 srgb(255,255,255)
  1: 9x9+1011+60 1014.9,64.0 49 srgb(255,255,255)
  5: 7x7+940+185 942.8,188.3 30 srgb(255,255,255)
  2: 4x4+1012+63 1013.7,64.2 12 srgb(0,0,0)
  4: 3x5+1090+153 1091.1,155.1 12 srgb(0,0,0)
Images/image_0055.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07312e+06 srgb(0,0,0)
  5: 11x12+817+121 822.1,126.3 87 srgb(255,255,255)
  1: 10x12+1068+90 1072.8,95.4 76 srgb(255,255,255)
  9: 11x11+1238+297 1243.2,301.9 74 srgb(255,255,255)
  7: 12x11+1090+139 1095.7,143.8 68 srgb(255,255,255)
  3: 10x12+1256+104 1260.9,109.5 65 srgb(255,255,255)
  6: 5x6+819+124 821.0,126.7 26 srgb(0,0,0)
  8: 5x6+1093+141 1095.0,143.5 22 srgb(0,0,0)
  2: 5x6+1070+93 1072.4,95.5 21 srgb(0,0,0)
  10: 5x5+1241+300 1243.2,302.0 21 srgb(0,0,0)
  4: 5x5+1258+108 1260.1,109.9 20 srgb(0,0,0)
Images/image_0056.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07342e+06 srgb(0,0,0)
  5: 9x9+1161+1050 1164.8,1053.8 50 srgb(255,255,255)
  3: 9x8+587+628 591.4,631.6 48 srgb(255,255,255)
  1: 9x8+1547+604 1550.7,607.5 42 srgb(255,255,255)
  6: 5x5+1162+1052 1164.2,1053.9 18 srgb(0,0,0)
  4: 4x3+589+631 590.4,632.1 11 srgb(0,0,0)
  2: 4x4+1549+606 1550.6,607.3 10 srgb(0,0,0)
Images/image_0056.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07343e+06 srgb(0,0,0)
  3: 10x11+1046+176 1051.0,180.9 68 srgb(255,255,255)
  6: 9x7+1239+278 1242.8,280.9 52 srgb(255,255,255)
  1: 7x7+960+162 962.4,164.7 35 srgb(255,255,255)
  4: 3x5+1049+179 1050.2,180.9 11 srgb(0,0,0)
Images/image_0056.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07313e+06 srgb(0,0,0)
  5: 11x12+835+109 840.5,114.2 80 srgb(255,255,255)
  3: 13x11+1022+58 1028.7,63.2 76 srgb(255,255,255)
  1: 10x12+1053+40 1057.7,45.7 75 srgb(255,255,255)
  7: 11x11+1250+144 1254.9,149.3 70 srgb(255,255,255)
  9: 10x10+1074+165 1078.9,169.2 52 srgb(255,255,255)
  6: 5x6+838+112 840.0,114.4 24 srgb(0,0,0)
  8: 6x6+1252+147 1254.3,149.2 24 srgb(0,0,0)
  2: 5x6+1055+43 1056.7,45.6 22 srgb(0,0,0)
  4: 5x5+1026+61 1028.1,63.1 22 srgb(0,0,0)
  10: 5x5+1076+167 1078.2,169.1 22 srgb(0,0,0)
Images/image_0057.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07345e+06 srgb(0,0,0)
  4: 9x9+1160+1051 1164.1,1055.0 48 srgb(255,255,255)
  1: 8x9+584+604 587.5,607.9 41 srgb(255,255,255)
  3: 8x7+1544+607 1547.7,610.4 34 srgb(255,255,255)
  5: 5x4+1162+1053 1163.6,1054.5 17 srgb(0,0,0)
  2: 5x4+585+606 586.8,607.8 13 srgb(0,0,0)
Images/image_0057.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07345e+06 srgb(0,0,0)
  4: 10x8+1268+256 1272.4,259.3 56 srgb(255,255,255)
  2: 9x9+1063+144 1067.1,147.9 54 srgb(255,255,255)
  1: 7x7+973+131 976.4,133.5 28 srgb(255,255,255)
  3: 4x4+1065+146 1066.6,147.4 11 srgb(0,0,0)
Images/image_0057.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07314e+06 srgb(0,0,0)
  1: 11x11+1038+35 1043.3,39.8 77 srgb(255,255,255)
  3: 12x12+1018+59 1024.0,64.8 74 srgb(255,255,255)
  7: 11x12+1308+144 1312.9,149.8 73 srgb(255,255,255)
  5: 10x11+864+118 868.7,122.9 67 srgb(255,255,255)
  9: 10x9+1140+154 1144.0,157.9 60 srgb(255,255,255)
  6: 5x6+866+121 867.9,123.7 24 srgb(0,0,0)
  4: 5x5+1020+63 1022.2,65.0 23 srgb(0,0,0)
  8: 5x5+1310+148 1312.1,150.0 22 srgb(0,0,0)
  2: 5x5+1040+38 1042.2,40.0 21 srgb(0,0,0)
  10: 4x5+1142+156 1143.5,157.7 15 srgb(0,0,0)
Images/image_0058.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07342e+06 srgb(0,0,0)
  1: 9x9+581+580 585.6,584.4 48 srgb(255,255,255)
  5: 9x10+1161+1050 1164.9,1054.8 47 srgb(255,255,255)
  3: 8x7+1544+626 1547.4,629.1 36 srgb(255,255,255)
  6: 5x6+1162+1052 1164.1,1054.3 22 srgb(0,0,0)
  4: 4x5+1545+627 1546.8,629.0 12 srgb(0,0,0)
  2: 4x4+583+583 584.5,584.2 11 srgb(0,0,0)
Images/image_0058.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07337e+06 srgb(0,0,0)
  7: 11x11+1083+166 1088.3,171.1 64 srgb(255,255,255)
  1: 10x8+1029+36 1034.0,39.4 52 srgb(255,255,255)
  9: 9x8+1312+238 1315.7,241.8 46 srgb(255,255,255)
  4: 7x7+943+83 945.8,86.0 44 srgb(255,255,255)
  2: 3x4+1032+38 1033.0,39.5 12 srgb(0,0,0)
  8: 3x5+1087+169 1087.8,171.1 11 srgb(0,0,0)
Images/image_0058.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07322e+06 srgb(0,0,0)
  5: 12x13+866+146 872.2,152.0 82 srgb(255,255,255)
  7: 11x12+1338+179 1342.8,184.6 70 srgb(255,255,255)
  3: 10x11+1158+121 1162.9,125.9 69 srgb(255,255,255)
  1: 11x10+1008+63 1013.5,67.6 68 srgb(255,255,255)
  6: 6x6+869+150 871.3,152.4 29 srgb(0,0,0)
  2: 6x5+1010+65 1012.8,66.9 23 srgb(0,0,0)
  8: 5x5+1340+182 1342.0,184.2 20 srgb(0,0,0)
  4: 4x5+1161+124 1162.4,126.1 17 srgb(0,0,0)
Images/image_0059.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0735e+06 srgb(0,0,0)
  1: 9x8+580+563 583.9,566.3 54 srgb(255,255,255)
  3: 8x7+1539+654 1542.8,656.9 32 srgb(255,255,255)
  4: 4x4+1541+655 1542.5,656.6 11 srgb(0,0,0)
Images/image_0059.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07334e+06 srgb(0,0,0)
  1: 9x10+1014+36 1017.9,40.7 67 srgb(255,255,255)
  7: 11x8+1060+200 1065.4,203.9 49 srgb(255,255,255)
  5: 8x8+1334+189 1337.6,192.3 45 srgb(255,255,255)
  3: 9x7+888+112 892.1,115.0 40 srgb(255,255,255)
  9: 8x6+1160+1051 1163.2,1053.5 32 srgb(255,255,255)
  8: 3x5+1064+202 1065.1,203.8 12 srgb(0,0,0)
  4: 4x4+890+114 890.9,115.4 10 srgb(0,0,0)
  10: 4x4+1162+1052 1163.7,1053.2 10 srgb(0,0,0)
Images/image_0059.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07322e+06 srgb(0,0,0)
  7: 11x11+870+181 875.0,185.8 78 srgb(255,255,255)
  3: 11x10+1143+69 1148.1,74.1 75 srgb(255,255,255)
  5: 11x11+1348+133 1353.3,138.1 74 srgb(255,255,255)
  1: 10x11+995+65 999.6,70.1 67 srgb(255,255,255)
  8: 5x6+872+184 873.9,186.3 26 srgb(0,0,0)
  2: 5x6+997+67 998.8,69.6 23 srgb(0,0,0)
  6: 5x5+1350+136 1352.2,138.2 20 srgb(0,0,0)
  4: 3x5+1146+72 1147.1,74.1 14 srgb(0,0,0)
Images/image_0001.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  3: 9x10+970+410 974.3,414.5 56 srgb(255,255,255)
  1: 9x9+803+89 806.9,93.5 51 srgb(255,255,255)
  4: 5x6+971+412 973.2,414.5 22 srgb(0,0,0)
  2: 4x4+805+92 806.6,93.6 13 srgb(0,0,0)
Images/image_0001.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07329e+06 srgb(0,0,0)
  1: 9x8+1037+40 1041.3,44.0 59 srgb(255,255,255)
  3: 8x10+1018+92 1021.1,95.9 59 srgb(255,255,255)
  12: 9x9+640+915 643.8,918.7 59 srgb(255,255,255)
  9: 9x8+796+472 800.1,475.4 52 srgb(255,255,255)
  7: 8x6+1236+308 1239.5,310.6 37 srgb(255,255,255)
  6: 6x6+1367+229 1369.6,231.6 30 srgb(255,255,255)
  10: 4x5+797+473 798.4,475.1 14 srgb(0,0,0)
Images/image_0001.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07336e+06 srgb(0,0,0)
  1: 11x9+1346+272 1350.8,276.1 61 srgb(255,255,255)
  5: 10x10+1420+833 1424.6,837.3 61 srgb(255,255,255)
  3: 10x9+786+791 790.6,795.1 59 srgb(255,255,255)
  2: 5x5+1348+274 1349.9,276.1 22 srgb(0,0,0)
  4: 5x5+788+793 790.0,795.2 21 srgb(0,0,0)
  6: 5x5+1422+835 1424.1,837.0 21 srgb(0,0,0)
Images/image_0002.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  3: 9x10+970+410 974.4,414.5 57 srgb(255,255,255)
  1: 8x9+803+90 806.7,93.7 42 srgb(255,255,255)
  4: 5x5+971+412 973.2,414.0 23 srgb(0,0,0)
  2: 4x5+805+92 806.2,94.2 14 srgb(0,0,0)
Images/image_0002.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0733e+06 srgb(0,0,0)
  3: 9x9+1018+92 1021.6,96.1 51 srgb(255,255,255)
  9: 10x9+795+472 800.2,475.5 51 srgb(255,255,255)
  1: 9x9+1037+40 1041.3,44.1 49 srgb(255,255,255)
  12: 8x8+641+916 644.5,919.1 40 srgb(255,255,255)
  7: 8x6+1236+308 1239.3,310.5 37 srgb(255,255,255)
  5: 6x6+1367+230 1369.8,232.3 30 srgb(255,255,255)
  10: 5x5+797+473 798.6,475.5 14 srgb(0,0,0)
  2: 3x5+1040+42 1040.8,44.1 11 srgb(0,0,0)
  4: 3x5+1020+94 1021.0,95.7 11 srgb(0,0,0)
  13: 4x4+642+918 643.7,919.7 10 srgb(0,0,0)
Images/image_0002.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07335e+06 srgb(0,0,0)
  1: 11x10+1346+271 1351.3,275.9 67 srgb(255,255,255)
  5: 10x10+1420+832 1424.7,836.4 61 srgb(255,255,255)
  3: 10x10+786+791 790.7,795.3 58 srgb(255,255,255)
  2: 6x5+1348+274 1350.4,276.0 21 srgb(0,0,0)
  4: 5x5+788+793 790.0,795.2 21 srgb(0,0,0)
  6: 5x5+1422+835 1424.3,836.9 21 srgb(0,0,0)
Images/image_0003.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0736e+06 srgb(0,0,0)
Images/image_0003.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07315e+06 srgb(0,0,0)
  8: 11x12+923+393 928.2,399.2 78 srgb(255,255,255)
  10: 11x9+817+471 822.4,474.5 52 srgb(255,255,255)
  7: 10x9+1190+267 1195.1,270.4 50 srgb(255,255,255)
  13: 8x7+1430+816 1433.4,819.0 50 srgb(255,255,255)
  1: 9x9+1050+43 1054.0,46.3 43 srgb(255,255,255)
  16: 8x8+646+920 649.5,923.2 41 srgb(255,255,255)
  3: 8x8+777+96 780.7,99.2 36 srgb(255,255,255)
  5: 6x6+1366+228 1368.4,230.5 31 srgb(255,255,255)
  9: 5x6+926+396 927.9,398.8 23 srgb(0,0,0)
  11: 4x5+820+472 821.5,473.9 14 srgb(0,0,0)
  2: 3x5+1052+44 1053.2,46.0 13 srgb(0,0,0)
  4: 5x7+1031+97 1032.8,100.3 13 srgb(255,255,255)
  17: 3x4+648+922 649.2,923.7 10 srgb(0,0,0)
Images/image_0003.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07341e+06 srgb(0,0,0)
  1: 10x11+1370+244 1374.8,249.1 72 srgb(255,255,255)
  3: 10x11+799+767 803.6,771.4 66 srgb(255,255,255)
  4: 5x6+801+769 802.9,771.4 27 srgb(0,0,0)
  2: 5x6+1372+247 1374.0,249.2 21 srgb(0,0,0)
Images/image_0004.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07354e+06 srgb(0,0,0)
  2: 9x8+1021+135 1025.2,138.6 43 srgb(255,255,255)
  3: 4x5+1023+137 1024.2,138.9 17 srgb(0,0,0)
Images/image_0004.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07322e+06 srgb(0,0,0)
  13: 11x11+892+438 897.8,442.9 64 srgb(255,255,255)
  3: 9x10+750+107 754.2,111.5 60 srgb(255,255,255)
  1: 10x9+1029+48 1033.6,51.6 52 srgb(255,255,255)
  7: 8x7+1142+289 1144.8,292.2 43 srgb(255,255,255)
  16: 9x7+656+930 660.2,933.1 38 srgb(255,255,255)
  14: 8x8+1450+784 1453.1,788.0 31 srgb(255,255,255)
  5: 6x6+1363+224 1365.3,226.5 30 srgb(255,255,255)
  9: 7x7+851+429 854.2,431.9 27 srgb(255,255,255)
  10: 4x4+853+431 854.2,432.6 13 srgb(0,0,0)
  17: 4x4+658+932 659.5,933.7 12 srgb(0,0,0)
  2: 3x5+1032+49 1032.8,51.1 11 srgb(0,0,0)
Images/image_0004.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07339e+06 srgb(0,0,0)
  3: 13x12+821+754 827.2,759.3 95 srgb(255,255,255)
  1: 10x11+1374+235 1378.7,239.9 66 srgb(255,255,255)
  4: 5x6+825+757 827.0,759.2 27 srgb(0,0,0)
  2: 5x6+1376+237 1377.8,239.6 21 srgb(0,0,0)
Images/image_0005.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07354e+06 srgb(0,0,0)
  1: 9x9+1002+170 1006.4,174.4 49 srgb(255,255,255)
  2: 3x5+1005+172 1006.0,174.0 15 srgb(0,0,0)
Images/image_0005.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07319e+06 srgb(0,0,0)
  1: 11x9+1018+79 1022.9,82.8 63 srgb(255,255,255)
  9: 9x12+874+412 878.0,417.6 60 srgb(255,255,255)
  3: 9x8+726+123 729.8,126.8 59 srgb(255,255,255)
  12: 8x8+1453+752 1456.3,755.5 54 srgb(255,255,255)
  15: 9x8+661+935 664.8,938.2 49 srgb(255,255,255)
  7: 8x7+848+387 851.5,389.8 34 srgb(255,255,255)
  5: 6x7+1367+229 1369.9,231.9 31 srgb(255,255,255)
  6: 7x6+1209+303 1211.5,306.0 28 srgb(255,255,255)
  10: 5x6+875+415 877.0,417.5 20 srgb(0,0,0)
  2: 3x5+1021+81 1022.4,83.2 10 srgb(0,0,0)
Images/image_0005.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07341e+06 srgb(0,0,0)
  3: 12x11+840+751 845.6,755.8 76 srgb(255,255,255)
  1: 11x10+1396+242 1401.2,246.4 67 srgb(255,255,255)
